antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,A_id,B_id,phi,p_value,abs_phi,abs_loglift,p_fdr,fdr_sig,domA,domB
frozenset({'MathA_05_r'}),frozenset({'MathA_14_r'}),0.8315334773218143,0.7796976241900648,0.6241900647948164,0.7506493506493507,0.9627441810267295,1.0,-0.02415461190750534,0.8835043196544276,-0.18679653679653724,0.6323851203501095,-0.1318563789152025,0.7756016836349247,MathA_05_r,MathA_14_r,-0.1557150871510686,0.00026535934241420697,0.1557150871510686,0.03796755042199887,0.0013267967120710348,True,数と計算,図形
frozenset({'MathA_14_r'}),frozenset({'MathA_05_r'}),0.7796976241900648,0.8315334773218143,0.6241900647948164,0.8005540166204986,0.9627441810267295,1.0,-0.02415461190750534,0.8446724262059035,-0.14941135734072056,0.6323851203501095,-0.18389090134242483,0.7756016836349247,MathA_14_r,MathA_05_r,-0.1557150871510686,0.00026535934241420697,0.1557150871510686,0.03796755042199887,0.0013267967120710348,True,図形,数と計算
frozenset({'MathB_12_r'}),frozenset({'MathB_02_r'}),0.1490280777537797,0.6479481641468683,0.08207343412526998,0.5507246376811594,0.849951690821256,1.0,-0.014489035261628314,0.7835992475440674,-0.17181104104436334,0.1148036253776435,-0.2761625322308172,0.33869565217391306,MathB_12_r,MathB_02_r,-0.08518720427678722,0.046264533639219035,0.08518720427678722,0.16257576544084065,0.08349472385384824,False,図形,図形
frozenset({'MathB_02_r'}),frozenset({'MathB_12_r'}),0.6479481641468683,0.1490280777537797,0.08207343412526998,0.12666666666666665,0.849951690821256,1.0,-0.014489035261628314,0.9743953308162828,-0.3339784946236559,0.1148036253776435,-0.026277495769881563,0.33869565217391306,MathB_02_r,MathB_12_r,-0.08518720427678722,0.046264533639219035,0.08518720427678722,0.16257576544084065,0.08349472385384824,False,図形,図形
frozenset({'MathB_11_r'}),frozenset({'MathB_05_r'}),0.326133909287257,0.1900647948164147,0.0734341252699784,0.2251655629139073,1.1846779048765803,1.0,0.011447550718620698,1.045300991305311,0.23133484162895934,0.16585365853658535,0.04333774834437087,0.30576459963877184,MathB_11_r,MathB_05_r,0.062237453928594456,0.11328633858090764,0.062237453928594456,0.16947092740926462,0.12587370953434182,False,数と計算,データ活用
frozenset({'MathB_05_r'}),frozenset({'MathB_11_r'}),0.1900647948164147,0.326133909287257,0.0734341252699784,0.38636363636363635,1.1846779048765805,1.0,0.011447550718620698,1.0981521478281737,0.19247058823529414,0.16585365853658535,0.08937937062937065,0.30576459963877184,MathB_05_r,MathB_11_r,0.062237453928594456,0.11328633858090764,0.062237453928594456,0.1694709274092648,0.12587370953434182,False,データ活用,数と計算
frozenset({'MathB_13_na'}),frozenset({'MathB_08_r'}),0.11447084233261338,0.673866090712743,0.09071274298056156,0.7924528301886793,1.175979680696662,1.0,0.01357472395728862,1.5713724720204207,0.16898954703832775,0.13003095975232198,0.363613644883169,0.46353410740203194,MathB_13_na,MathB_08_r,0.09094887998002947,0.032746049832299534,0.09094887998002947,0.16210157100799835,0.08186512458074884,False,図形,図形
frozenset({'MathB_08_r'}),frozenset({'MathB_13_na'}),0.673866090712743,0.11447084233261338,0.09071274298056156,0.13461538461538464,1.175979680696662,1.0,0.01357472395728862,1.0232781377489801,0.4588457899716184,0.13003095975232198,0.02274859287054412,0.46353410740203194,MathB_08_r,MathB_13_na,0.09094887998002947,0.032746049832299534,0.09094887998002947,0.16210157100799835,0.08186512458074884,False,図形,図形
frozenset({'MathB_12_na'}),frozenset({'MathB_11_na'}),0.20086393088552915,0.11231101511879049,0.0734341252699784,0.3655913978494624,3.255169561621175,1.0,0.05087489329147405,1.3992385693890252,0.8669316375198728,0.30630630630630634,0.2853255893048688,0.5097187758478081,MathB_12_na,MathB_11_na,0.40216157612814296,2.077851105334377e-14,0.40216157612814296,1.1802443669677123,2.077851105334377e-13,True,図形,数と計算
frozenset({'MathB_11_na'}),frozenset({'MathB_12_na'}),0.11231101511879049,0.20086393088552915,0.0734341252699784,0.6538461538461539,3.255169561621175,1.0,0.05087489329147405,2.308615310775138,0.7804494060397882,0.30630630630630634,0.5668399168399169,0.5097187758478081,MathB_11_na,MathB_12_na,0.40216157612814296,2.077851105334377e-14,0.40216157612814296,1.1802443669677123,2.077851105334377e-13,True,数と計算,図形
frozenset({'MathB_03_r'}),frozenset({'MathB_11_na'}),0.44924406047516197,0.11231101511879049,0.06263498920086392,0.13942307692307693,1.241401627218935,1.0,0.012179932732811177,1.0315045187446457,0.353076402974983,0.12554112554112554,0.030542298334269146,0.3485576923076923,MathB_03_r,MathB_11_na,0.07755013021354,0.0644869001969802,0.07755013021354,0.21624108578996284,0.09212414313854314,False,図形,数と計算
frozenset({'MathB_11_na'}),frozenset({'MathB_03_r'}),0.11231101511879049,0.44924406047516197,0.06263498920086392,0.5576923076923077,1.241401627218935,1.0,0.012179932732811177,1.2451873415344166,0.2190620018457924,0.12554112554112554,0.19690799396681755,0.3485576923076923,MathB_11_na,MathB_03_r,0.07755013021354,0.0644869001969802,0.07755013021354,0.21624108578996284,0.09212414313854314,False,数と計算,図形
frozenset({'MathA_11_r'}),frozenset({'MathB_11_na'}),0.6501079913606912,0.11231101511879049,0.06263498920086392,0.09634551495016609,0.8578456427293635,1.0,-0.010379299245693183,0.9823322957692796,-0.32139245991622156,0.08950617283950617,-0.017985466126698532,0.3270189113212369,MathA_11_r,MathB_11_na,-0.06892339752224581,0.09318134808914848,0.06892339752224581,0.1533310992575952,0.1164766851114356,False,図形,数と計算
frozenset({'MathB_11_na'}),frozenset({'MathA_11_r'}),0.11231101511879049,0.6501079913606912,0.06263498920086392,0.5576923076923077,0.8578456427293636,1.0,-0.010379299245693183,0.7910601934453938,-0.15731052036199109,0.08950617283950617,-0.2641263057929726,0.3270189113212369,MathB_11_na,MathA_11_r,-0.06892339752224581,0.09318134808914848,0.06892339752224581,0.15333109925759505,0.1164766851114356,False,数と計算,図形
frozenset({'MathA_12_r'}),frozenset({'MathB_03_na'}),0.8358531317494601,0.09287257019438445,0.09071274298056156,0.10852713178294573,1.168559581755904,1.0,0.013084914329963754,1.0175603343036905,0.8787593984962406,0.10824742268041238,0.01725729051310446,0.5426356589147286,MathA_12_r,MathB_03_na,0.12170592289391514,0.0031131348561617106,0.12170592289391514,0.15577186364625809,0.010377116187205703,True,図形,図形
frozenset({'MathB_03_na'}),frozenset({'MathA_12_r'}),0.09287257019438445,0.8358531317494601,0.09071274298056156,0.9767441860465116,1.168559581755904,1.0,0.013084914329963754,7.058315334773204,0.15901360544217685,0.10824742268041238,0.8583231334149324,0.5426356589147286,MathB_03_na,MathA_12_r,0.12170592289391514,0.0031131348561617106,0.12170592289391514,0.15577186364625809,0.010377116187205703,True,図形,図形
frozenset({'MathB_07_r'}),frozenset({'MathB_03_na'}),0.4838012958963283,0.09287257019438445,0.05183585313174946,0.10714285714285714,1.1536544850498338,1.0,0.0069039833184835475,1.0159827213822894,0.2580195258019525,0.09876543209876541,0.01573129251700679,0.332641196013289,MathB_07_r,MathB_03_na,0.04759703314277438,0.19381103208036876,0.04759703314277438,0.14293471688557735,0.19381103208036876,False,数と計算,図形
frozenset({'MathB_03_na'}),frozenset({'MathB_07_r'}),0.09287257019438445,0.4838012958963283,0.05183585313174946,0.5581395348837209,1.1536544850498338,1.0,0.0069039833184835475,1.1682391724451517,0.14682539682539678,0.09876543209876541,0.14401089812201998,0.332641196013289,MathB_03_na,MathB_07_r,0.04759703314277438,0.19381103208036876,0.04759703314277438,0.14293471688557735,0.19381103208036876,False,図形,数と計算
frozenset({'MathB_13_r'}),frozenset({'MathB_03_na'}),0.6825053995680346,0.09287257019438445,0.05183585313174946,0.0759493670886076,0.817780394465705,1.0,-0.01155017749767924,0.9816858486937483,-0.4123917388407729,0.07164179104477611,-0.018655816757082583,0.31704445098616424,MathB_13_r,MathB_03_na,-0.0854849296598284,0.05009683431230894,0.0854849296598284,0.20116144484629483,0.08349472385384824,False,図形,図形
frozenset({'MathB_03_na'}),frozenset({'MathB_13_r'}),0.09287257019438445,0.6825053995680346,0.05183585313174946,0.5581395348837209,0.817780394465705,1.0,-0.01155017749767924,0.7185404115039218,-0.1971965594138261,0.07164179104477611,-0.39171017244106954,0.31704445098616424,MathB_03_na,MathB_13_r,-0.0854849296598284,0.05009683431230894,0.0854849296598284,0.20116144484629483,0.08349472385384824,False,図形,図形
